annotation	node1	node2	node3	relevant_node	expected	taxonomy	type	organism	tax_id
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Microbacterium phage vB_MoxS-ISF9	1458670
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Microcystis phage MaMV-DC	1357715
"None"	dsRNA viruses	Reoviridae	Sedoreovirinae				from_vog	Micromonas pusilla reovirus	338781
"None"	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	Micromonas pusilla virus 12T				from_vog	Micromonas pusilla virus 12T	755272
"None"	dsDNA viruses, no RNA stage	Phycodnaviridae	Prasinovirus				from_vog	Micromonas sp. RCC1109 virus MpV1	880161
"None"	dsDNA viruses, no RNA stage	Polydnaviridae	Bracovirus				from_vog	Microplitis demolitor bracovirus	53988
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Bog1249_12	1655647
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Bog5275_51	1655648
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Bog9017_22	1655651
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen2266_11	1655652
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen418_41	1655653
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen4707_41	1655654
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen685_11	1655657
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen7786_21	1655658
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen7895_21	1655660
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen7918_21	1655661
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae Fen7940_21	1655662
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae IME-16	1544364
"None"	ssDNA viruses	Microviridae	unclassified Microviridae				from_vog	Microviridae phi-CA82	913970
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Togaviridae	Alphavirus	9		from_vog	Middelburg virus	11023
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Midway nyavirus	644609
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Arteriviridae	11		from_vog	Mikumi yellow baboon virus 1	1546177
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Milk vetch dwarf C10 alphasatellite	1455652
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Milk vetch dwarf C1 alphasatellite	1455651
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Milk vetch dwarf C2 alphasatellite	1455653
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Milk vetch dwarf C3 alphasatellite	1455654
"None"	ssDNA viruses	Nanoviridae	Nanovirus				from_vog	Milk vetch dwarf virus	67585
"None"	dsDNA viruses, no RNA stage	Mimiviridae	unclassified Mimiviridae				from_vog	Mimivirus terra2	1128151
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mimosa yellow leaf curl virus	390440
